player_id,player_name,archetype,season,team,games_played,minutes,points,rebounds,assists,steals,blocks,fg_pct,fg3_pct,ft_pct
50,Stephanie Butler,regular,2019-20,SparkiFY,22,17.4,,6.7,3.0,1.6,0.6,0.441,0.314,
51,John Johns,elite_scorer,2019-20,LutammS,77,30.5,22.6,1.1,5.1,0.8,0.3,0.458,,0.937
52,Anthony Rivera,elite_playmaker,2019-20,HtmlERS,81,29.6,15.4,4.1,10.4,2.1,0.2,0.507,0.369,0.829
53,Ralph Thompson,regular,2019-20,UnitedWeCode,33,34.8,6.2,4.8,1.5,0.8,0.6,,0.317,0.786
54,Erin Holmes,regular,2019-20,KeyBoardWarriors,35,36.6,14.8,3.1,4.2,1.0,1.1,0.422,,0.838
55,John Gutierrez,regular,2019-20,KeyBoardWarriors,71,36.5,8.0,4.5,3.2,1.2,,0.517,0.334,0.84
56,Heather Nguyen,regular,2019-20,UnitedWeCode,25,26.1,7.9,3.8,1.4,,0.8,0.434,0.301,0.777
57,Carlos Stevens,regular,2019-20,HtmlERS,70,26.0,9.2,,2.8,0.3,0.8,0.389,0.319,0.764
58,James Howell,regular,2019-20,KeyBoardWarriors,46,33.5,15.4,5.5,3.9,1.1,0.6,,0.309,0.75
59,James Taylor,regular,2019-20,KeyBoardWarriors,34,17.0,8.2,4.7,1.7,1.1,0.3,0.409,0.337,0.762
60,Patricia Rivera,regular,2019-20,SkyBirds,57,17.4,15.9,7.1,4.8,1.3,0.5,0.519,0.346,0.722
61,Kelly Medina,regular,2019-20,UnitedWeCode,20,17.9,,5.4,,1.1,1.0,0.507,0.305,0.802
62,Heather Lambert,regular,2019-20,BIsupremE,45,23.8,9.5,3.2,3.2,1.7,0.4,0.453,0.335,0.713
63,Lauren Green,regular,2019-20,UnitedWeCode,71,34.2,4.9,2.4,0.8,0.6,0.5,0.424,0.253,0.605
64,Ronald Cox,regular,2019-20,VBADragons,37,32.3,11.1,6.7,4.7,1.8,0.7,0.493,0.374,0.702
65,Zachary Andrews,regular,2019-20,SkyBirds,51,34.0,16.4,5.6,3.0,1.7,1.0,0.483,,0.712
66,Crystal Jones,regular,2019-20,BIsupremE,37,36.0,,6.5,4.1,1.7,0.6,0.467,0.32,0.708
67,Nathan Erickson,regular,2019-20,SkyBirds,34,23.8,4.7,1.6,1.6,0.4,0.2,0.383,0.256,0.702
68,Austin Francis,elite_defender,2019-20,BIsupremE,29,35.2,12.9,7.5,,2.1,2.4,0.461,0.341,0.757
69,Gina Morales,regular,2019-20,BIsupremE,48,17.7,13.1,6.0,4.9,1.1,1.0,0.508,0.317,0.728
70,Shane Baker,regular,2019-20,LutammS,24,29.4,7.3,2.1,1.8,0.2,0.2,0.414,0.254,
71,Jo Castillo,elite_playmaker,2019-20,VBADragons,41,23.4,20.0,5.7,9.9,1.6,0.2,0.441,0.386,0.9
72,Joseph Johnson,regular,2019-20,HtmlERS,28,12.6,9.1,5.8,2.3,1.1,1.1,0.42,0.338,0.835
73,Michael Mccall,regular,2019-20,HtmlERS,47,31.2,17.1,4.4,3.5,1.1,0.5,0.472,0.332,0.761
74,Erica Garrett,elite_defender,2019-20,BIsupremE,74,26.2,10.7,7.9,4.0,2.6,1.9,0.427,0.284,0.834
75,Sarah Johnson,regular,2019-20,HtmlERS,30,29.3,2.2,3.9,1.6,0.3,0.2,0.404,,0.695
76,Carrie Lopez,regular,2019-20,HtmlERS,60,12.2,4.7,3.6,1.9,0.7,0.4,0.407,,0.733
77,Randy White,regular,2019-20,SparkiFY,77,35.4,2.5,2.8,1.3,0.7,0.3,0.433,0.268,
78,Michael Valenzuela,regular,2019-20,KeyBoardWarriors,36,17.5,8.9,4.0,2.7,,0.5,0.41,0.335,0.749
79,Jessica Mathis,elite_scorer,2019-20,VBADragons,59,29.2,30.1,1.4,2.8,0.7,0.1,0.629,0.44,0.921
80,Charles Turner,regular,2019-20,VBADragons,44,27.4,5.4,1.9,0.7,0.7,0.2,0.353,0.275,0.663
81,Kristen Williams,elite_defender,2019-20,SkyBirds,20,25.6,13.8,6.3,3.5,2.8,2.1,0.484,0.357,0.782
82,Jake Miller,elite_defender,2019-20,UnitedWeCode,52,28.5,11.6,5.7,3.5,2.5,2.5,0.437,0.287,0.839
83,Lisa Hall,regular,2019-20,BIsupremE,58,35.8,10.7,4.7,4.9,0.9,0.7,0.435,,0.804
84,Roger Smith,regular,2019-20,KeyBoardWarriors,73,37.5,11.3,3.5,2.3,1.7,1.0,,0.339,0.7
85,Daniel Palmer,elite_playmaker,2019-20,HtmlERS,69,31.2,21.5,4.8,8.5,1.3,0.4,0.43,0.412,0.825
86,Lacey Peterson,regular,2019-20,SparkiFY,25,17.2,14.3,6.5,4.3,0.8,0.6,0.43,0.304,0.826
87,Luis Williams,regular,2019-20,LutammS,64,18.0,10.2,6.2,,0.6,1.1,0.509,0.309,0.756
88,Cory Hernandez,regular,2019-20,UnitedWeCode,76,18.5,5.9,4.4,2.4,0.9,0.2,,0.352,0.777
89,Jamie Hudson,regular,2019-20,LutammS,43,15.7,8.2,5.7,3.0,0.7,0.4,0.478,0.347,0.738
90,Michael Levine,regular,2019-20,VBADragons,79,19.6,17.4,4.9,3.2,1.8,1.0,0.401,0.3,0.821
91,Justin Chase,regular,2019-20,KeyBoardWarriors,74,23.9,10.0,4.5,1.1,0.4,0.6,0.471,0.324,0.682
92,Christopher Rose,regular,2019-20,KeyBoardWarriors,53,22.0,5.3,2.5,1.8,0.3,0.5,0.361,,0.679
93,Andrea Sandoval,elite_defender,2019-20,KeyBoardWarriors,22,23.8,8.7,10.4,1.6,2.6,2.6,0.473,0.331,0.846
94,Robert Warren,regular,2019-20,SkyBirds,39,14.2,12.7,,3.8,1.3,0.4,0.425,0.33,0.797
95,Kimberly Hernandez,regular,2019-20,LutammS,56,13.8,9.3,4.9,,0.7,,0.435,0.344,0.651
96,Amanda Chapman,regular,2019-20,HtmlERS,65,15.0,10.0,5.9,4.5,0.7,0.4,0.459,0.37,0.715
97,Kimberly Martin,regular,2019-20,BIsupremE,81,36.4,8.7,3.8,4.5,0.7,0.7,0.51,0.365,0.711
98,Robert Johnson,regular,2019-20,UnitedWeCode,35,18.3,17.5,4.8,4.8,1.0,0.9,0.506,,0.792
99,Elaine Parrish,regular,2019-20,UnitedWeCode,56,12.6,5.3,4.1,1.0,0.8,0.4,0.424,0.334,0.675
100,Michael Velasquez,regular,2019-20,UnitedWeCode,71,21.4,13.5,7.5,2.8,1.5,0.5,0.403,0.343,0.764
101,Diane Smith,regular,2019-20,LutammS,45,36.8,12.0,5.3,2.6,1.3,1.1,0.488,0.329,0.746
102,Thomas Williams,regular,2019-20,LutammS,69,19.0,9.6,5.2,3.8,1.0,0.4,0.441,0.364,0.726
103,Lawrence Owen,regular,2019-20,VBADragons,71,12.8,11.1,2.6,2.6,1.2,0.5,0.433,0.291,0.75
104,David Cunningham,regular,2019-20,SparkiFY,34,19.8,5.8,2.8,1.9,0.6,0.4,0.478,0.315,0.718
105,Brian Rodriguez,regular,2019-20,BIsupremE,52,37.2,10.3,6.9,4.0,0.5,0.3,0.496,0.37,0.76
106,Stephanie Davis,elite_defender,2019-20,BIsupremE,78,36.4,14.1,11.0,3.9,2.7,1.5,0.369,0.368,0.7
107,Grant Bentley,regular,2019-20,BIsupremE,32,24.0,15.8,5.2,5.0,1.0,0.7,0.402,0.361,0.849
108,Kyle Robinson,regular,2019-20,HtmlERS,58,14.3,13.2,6.6,2.6,1.0,0.6,0.473,0.316,0.784
109,Colin Porter,regular,2019-20,SkyBirds,57,14.7,11.4,3.2,4.7,1.2,0.7,0.519,0.368,0.744
110,Brian Robinson,regular,2019-20,SkyBirds,72,22.5,13.0,6.7,4.4,1.3,1.1,0.464,0.366,
111,Jeffrey Mcgee,elite_defender,2019-20,KeyBoardWarriors,47,25.7,11.3,11.1,1.4,2.3,1.5,0.384,0.253,0.775
112,Fernando Chapman,regular,2019-20,KeyBoardWarriors,44,25.1,15.3,5.3,3.3,1.5,0.4,0.478,,0.716
113,John Chaney,regular,2019-20,SparkiFY,20,21.9,7.4,3.6,0.5,0.4,0.3,0.358,0.261,0.653
114,Vicki Bradshaw,regular,2019-20,VBADragons,75,14.1,2.5,3.8,1.6,0.3,0.2,0.432,0.26,0.625
115,Rachel Spencer,regular,2019-20,LutammS,66,17.7,14.1,5.9,3.8,1.0,0.4,0.432,0.336,0.846
116,Sarah Bowman,elite_scorer,2019-20,HtmlERS,21,23.6,32.9,2.3,3.5,0.4,0.3,0.503,0.384,0.93
117,Erik Oconnor,regular,2019-20,SparkiFY,38,14.6,11.6,4.7,2.9,0.9,0.9,0.413,0.352,0.733
118,Melinda Smith,regular,2019-20,LutammS,46,37.0,4.6,3.1,0.7,0.7,0.2,0.353,,0.608
119,James Mueller,elite_playmaker,2019-20,HtmlERS,31,20.7,17.5,3.4,8.5,1.6,1.0,,0.413,0.822
120,Kayla Castro,regular,2019-20,UnitedWeCode,50,29.9,,3.6,2.9,1.3,1.0,0.469,0.359,0.838
121,David Baker,regular,2019-20,UnitedWeCode,49,32.0,,2.0,1.3,0.6,0.3,0.449,0.258,0.694
122,Joe Hooper,regular,2019-20,HtmlERS,52,16.0,7.2,2.1,,1.1,0.5,0.404,0.349,0.726
123,Jeremiah Wood,regular,2019-20,KeyBoardWarriors,41,21.7,3.0,3.5,1.8,0.5,0.2,0.392,0.298,0.68
124,Hannah Alvarado,regular,2019-20,HtmlERS,73,24.9,6.7,2.5,3.0,0.4,0.4,0.447,0.313,0.745
125,Anna Curtis,elite_scorer,2019-20,LutammS,28,33.2,23.4,4.7,5.7,,0.9,0.46,0.394,0.829
126,Michelle Sloan,regular,2019-20,UnitedWeCode,26,13.4,3.4,3.8,1.1,0.7,0.2,0.4,0.31,0.614
127,Daniel Johnson,regular,2019-20,SkyBirds,62,36.7,11.6,5.9,2.1,1.0,0.7,0.421,0.33,
128,Robin Kent,regular,2019-20,VBADragons,59,27.8,17.2,6.9,3.9,1.7,0.4,0.5,0.301,0.823
129,Micheal Ross,regular,2019-20,SparkiFY,80,28.1,5.6,3.2,1.0,0.6,0.2,0.367,0.28,0.637
130,Gail Fisher,regular,2019-20,SparkiFY,70,30.6,14.0,7.0,3.2,1.1,1.0,0.497,0.377,0.835
131,Daniel Wright,elite_scorer,2019-20,BIsupremE,43,20.2,31.3,7.9,4.4,0.6,0.9,0.463,0.375,0.919
132,Kevin Knight,regular,2019-20,VBADragons,20,36.7,14.2,4.6,2.1,1.5,0.5,0.447,0.371,0.707
133,George Chandler,regular,2019-20,SparkiFY,32,31.6,9.3,3.2,2.5,1.2,0.4,0.443,,0.807
134,Tara Cruz,regular,2019-20,KeyBoardWarriors,76,24.8,12.8,3.5,3.4,1.5,0.6,0.469,0.351,0.706
135,Ashley Fields,regular,2019-20,HtmlERS,69,17.2,11.6,3.2,4.5,1.3,0.6,,0.368,0.829
136,Lauren Soto,regular,2019-20,UnitedWeCode,46,36.9,7.2,3.0,1.1,,0.2,0.411,0.271,0.686
137,Zachary Le,regular,2019-20,BIsupremE,53,30.2,10.6,7.1,3.6,0.6,1.0,0.49,0.317,0.733
138,Andrew Case,regular,2019-20,HtmlERS,52,12.5,10.2,4.9,2.4,1.5,1.2,0.404,0.361,0.73
139,Rachel Benson,regular,2019-20,LutammS,63,30.5,14.1,4.0,4.1,1.1,0.7,0.452,0.369,
140,James Garrett,regular,2019-20,KeyBoardWarriors,78,36.3,5.7,1.4,0.7,0.2,,0.384,0.322,0.63
141,Anthony Sanders,regular,2019-20,BIsupremE,28,35.8,5.9,2.5,0.6,0.6,0.5,0.433,0.303,0.632
142,Jason Hoffman,regular,2019-20,UnitedWeCode,67,20.7,13.7,7.1,4.8,1.1,0.6,0.419,0.302,0.814
143,John Davis,regular,2019-20,SparkiFY,80,14.8,,4.1,4.7,,0.4,0.491,0.376,0.769
144,Laura King,regular,2019-20,SparkiFY,42,26.8,10.7,5.3,3.4,0.7,0.6,0.498,0.37,0.703
145,Anita Smith,regular,2019-20,VBADragons,73,24.6,16.7,3.2,,1.6,0.7,0.472,0.304,0.817
146,Anna Mccormick,regular,2019-20,HtmlERS,67,12.1,2.0,,0.8,0.4,0.2,0.438,0.27,0.65
147,Kristen Murphy,elite_scorer,2019-20,SparkiFY,50,28.8,22.3,1.5,3.1,0.7,0.8,0.454,0.378,0.885
148,David Lynch,regular,2019-20,SparkiFY,41,35.9,14.2,5.1,3.3,0.8,0.9,0.437,0.316,0.837
149,Kristopher Mitchell,regular,2019-20,HtmlERS,73,32.9,11.8,3.1,2.5,0.3,0.3,0.462,,0.764
150,Jason Long,regular,2019-20,HtmlERS,22,20.1,8.1,4.7,4.4,1.0,0.9,0.475,,0.827
151,Evelyn Morales,regular,2019-20,HtmlERS,56,26.9,11.6,3.9,2.4,1.1,0.7,0.46,,0.714
152,Deborah Luna,regular,2019-20,BIsupremE,46,32.8,14.9,4.4,3.9,0.7,0.4,0.438,0.352,0.703
153,Lisa Duncan,regular,2019-20,LutammS,57,26.8,11.1,3.8,4.0,1.3,1.1,0.494,0.328,0.73
154,Veronica Shaw,regular,2019-20,VBADragons,50,15.0,9.8,3.9,2.0,0.4,0.3,0.39,0.356,0.681
155,Amanda Barrett,regular,2019-20,HtmlERS,53,30.2,10.4,2.9,2.0,0.7,0.3,0.417,0.358,0.797
156,Teresa Miles,regular,2019-20,SkyBirds,31,36.2,10.4,3.1,1.9,1.2,0.3,0.476,0.348,0.673
157,Sabrina Moore,regular,2019-20,BIsupremE,36,25.1,11.3,3.5,2.9,0.6,0.4,0.426,0.345,0.716
158,Robert Warner,elite_scorer,2019-20,HtmlERS,62,35.7,25.9,2.1,2.2,0.2,0.2,0.462,0.383,0.868
159,Jessica Greer,regular,2019-20,LutammS,22,21.4,4.4,1.8,1.2,0.8,0.3,0.365,0.311,0.668
160,Joseph Edwards,regular,2019-20,UnitedWeCode,27,22.2,13.3,5.6,2.0,1.8,0.8,0.422,0.372,0.804
161,Robert Long,regular,2019-20,SparkiFY,61,26.3,15.1,7.5,2.4,1.1,0.7,0.518,0.353,0.837
162,Christopher Price,regular,2019-20,SkyBirds,70,20.1,8.3,3.9,1.4,0.4,0.4,0.416,0.311,0.787
163,Dawn Stevenson,regular,2019-20,VBADragons,33,33.0,6.2,1.8,1.0,0.8,0.3,0.374,0.308,0.738
164,Jerry Oliver,regular,2019-20,UnitedWeCode,71,30.0,16.6,4.9,4.2,1.6,0.9,0.483,0.371,0.788
165,Karen Moore,regular,2019-20,KeyBoardWarriors,37,12.2,7.9,2.3,1.4,0.9,0.4,0.405,0.347,0.685
166,Alexis Moore,regular,2019-20,LutammS,60,31.5,13.9,7.7,4.8,1.3,0.5,0.425,0.34,0.805
167,Erika Gentry,regular,2019-20,KeyBoardWarriors,78,17.1,2.2,1.7,0.7,0.5,0.3,0.388,0.325,0.698
168,Paul Collins,regular,2019-20,KeyBoardWarriors,29,31.0,10.3,4.1,2.2,1.1,0.4,0.428,0.352,0.839
169,Courtney Stewart,regular,2019-20,VBADragons,22,36.1,6.0,3.5,2.3,0.4,0.7,0.418,0.305,0.703
170,Benjamin Sanchez,elite_playmaker,2019-20,KeyBoardWarriors,33,29.1,21.0,,11.8,1.2,0.8,0.501,0.402,0.873
171,Caroline Ellis,elite_scorer,2019-20,HtmlERS,65,16.0,20.1,6.8,5.7,1.9,,0.633,0.41,0.947
172,Michael Myers,regular,2019-20,UnitedWeCode,49,29.5,7.2,3.8,1.7,1.1,0.4,0.473,0.347,0.731
173,Derrick Saunders,regular,2019-20,KeyBoardWarriors,65,31.7,7.5,2.1,1.2,1.0,0.3,0.403,0.311,0.744
174,Nathaniel Vaughn,elite_playmaker,2019-20,BIsupremE,75,31.9,,5.5,10.2,1.4,0.8,0.401,0.405,0.862
175,Ashley Mccullough,regular,2019-20,SkyBirds,62,22.1,7.1,2.2,1.0,1.1,,0.45,0.296,0.745
176,Laura Anderson,regular,2019-20,BIsupremE,67,25.2,,2.3,,0.4,0.4,0.447,0.283,0.699
177,Shannon Smith,regular,2019-20,VBADragons,62,21.0,14.4,4.4,2.9,1.7,0.7,0.511,0.328,0.789
178,Kari Hall,regular,2019-20,LutammS,39,17.9,12.2,7.1,3.4,1.1,0.4,0.519,0.329,0.843
179,Tiffany Perez,regular,2019-20,KeyBoardWarriors,49,12.4,8.6,4.9,3.4,1.0,0.5,0.512,0.349,0.767
180,William Vasquez,regular,2019-20,BIsupremE,37,31.8,8.0,3.0,0.7,0.2,0.1,0.378,0.271,0.661
181,Margaret Larson,elite_defender,2019-20,UnitedWeCode,21,15.1,8.0,7.4,1.9,2.6,1.9,0.384,0.376,0.664
182,Nicole Flores,regular,2019-20,BIsupremE,74,31.3,11.6,7.7,3.8,1.3,0.3,0.492,0.313,0.846
183,Connor Lopez,elite_scorer,2019-20,HtmlERS,75,13.3,29.0,1.8,5.9,1.2,0.7,0.647,0.416,0.939
184,Brandon Zimmerman,regular,2019-20,UnitedWeCode,40,16.0,2.1,3.4,0.8,0.3,0.2,0.418,0.302,
185,Gina Fischer,regular,2019-20,HtmlERS,56,29.5,17.7,7.9,2.1,1.2,,0.464,0.328,0.81
186,Kimberly Martinez,elite_defender,2019-20,HtmlERS,67,17.1,14.1,11.3,3.4,1.6,2.4,0.383,0.368,0.667
187,Caleb Hopkins,elite_defender,2019-20,HtmlERS,36,16.1,14.7,5.6,3.4,2.9,2.8,0.392,0.329,0.701
188,Aaron Rogers,regular,2019-20,BIsupremE,22,15.9,8.7,3.5,2.5,0.9,0.5,0.439,0.3,0.738
189,Briana Delgado,regular,2019-20,BIsupremE,28,33.2,17.8,6.4,4.8,0.8,0.4,0.454,0.307,0.824
190,Christina Avery,regular,2019-20,KeyBoardWarriors,39,25.6,12.0,3.5,4.3,1.4,1.1,0.402,0.321,0.844
191,Theresa Collins,regular,2019-20,LutammS,47,28.3,13.8,,4.8,1.4,0.4,0.443,0.376,0.828
192,Leslie Smith,regular,2019-20,LutammS,65,33.3,9.9,4.4,,1.1,1.1,,0.345,0.711
193,David Kim,elite_playmaker,2019-20,SparkiFY,79,36.6,18.4,3.4,9.2,2.0,0.5,0.42,0.389,0.816
194,Darlene Young,regular,2019-20,LutammS,82,35.9,8.6,3.8,1.1,0.6,,0.451,0.282,0.716
195,Cory Cohen,regular,2019-20,KeyBoardWarriors,79,37.0,9.6,7.3,2.3,1.5,1.0,,0.33,0.767
196,Emily Mason,regular,2019-20,LutammS,27,19.8,9.1,4.1,2.9,0.9,0.4,0.443,0.351,0.797
197,Donald Gonzalez,regular,2019-20,BIsupremE,32,14.4,10.5,3.7,2.2,1.1,0.8,0.416,0.336,0.815
198,Joseph Farrell,elite_defender,2019-20,LutammS,36,27.6,11.6,7.6,1.8,2.9,1.4,0.391,,0.84
199,Sara Williams,regular,2019-20,SparkiFY,43,34.0,15.2,5.1,2.9,0.8,0.8,0.414,0.307,0.811
200,Sharon Durham,regular,2019-20,VBADragons,82,30.3,17.9,4.8,4.5,1.5,0.8,0.501,0.343,0.724
201,Laura Hall,regular,2019-20,SkyBirds,32,24.6,9.7,3.5,4.2,1.8,1.2,0.504,0.369,0.789
202,Tammy Stokes,regular,2019-20,SparkiFY,47,24.0,11.9,2.7,2.7,0.8,0.7,0.39,0.332,0.775
203,Donald Johnson,regular,2019-20,VBADragons,37,18.1,9.3,7.8,,0.6,0.6,0.473,0.342,0.768
204,Nicholas Riley,regular,2019-20,SkyBirds,43,27.5,16.5,7.8,3.2,,1.2,0.433,0.354,0.812
205,Angel Blevins,elite_scorer,2019-20,SkyBirds,71,13.6,27.3,6.9,4.5,0.2,0.2,0.55,0.408,0.824
206,Emily Black,regular,2019-20,VBADragons,61,19.0,13.1,5.1,4.6,1.5,0.8,0.48,0.338,0.706
207,Travis Garcia,regular,2019-20,KeyBoardWarriors,48,36.8,8.4,4.6,3.5,0.6,0.6,0.504,0.363,0.804
208,Julie Figueroa,regular,2019-20,SkyBirds,23,12.4,10.0,7.9,4.4,1.1,0.9,0.473,0.316,0.703
209,Andrew Roman,regular,2019-20,UnitedWeCode,26,22.0,7.8,2.8,1.3,,0.3,0.351,0.306,0.706
210,Michael Fitzpatrick,regular,2019-20,SparkiFY,39,25.8,14.9,5.3,2.6,1.3,0.9,0.505,,0.784
211,Matthew Lewis,regular,2019-20,UnitedWeCode,49,33.4,7.6,3.2,1.6,1.1,0.6,0.411,0.292,0.653
212,James Rivera,regular,2019-20,KeyBoardWarriors,45,33.8,11.1,7.4,,0.9,0.8,0.479,,0.806
213,Chad Martin,regular,2019-20,LutammS,20,26.1,11.3,4.5,,1.3,0.5,0.453,0.322,0.76
214,Thomas Arnold,regular,2019-20,UnitedWeCode,47,18.3,2.9,3.5,0.9,0.2,0.5,0.408,0.283,0.683
215,Angela Anderson,regular,2019-20,SparkiFY,22,14.5,15.5,7.0,3.1,,0.6,0.512,0.343,
216,Angel Thomas,regular,2019-20,UnitedWeCode,53,17.9,7.9,1.6,1.5,0.5,0.4,0.41,0.272,0.634
217,Rachel Taylor,regular,2019-20,SparkiFY,51,14.5,7.4,4.0,2.2,0.5,0.3,0.426,0.359,0.745
218,Gabriela Peters,regular,2019-20,VBADragons,48,27.5,5.1,3.4,1.3,0.5,0.3,0.43,,0.713
219,Carol Giles,regular,2019-20,UnitedWeCode,43,20.4,7.6,2.7,1.6,0.4,0.4,0.43,0.263,0.603
